"filename", "language", "MS SQL", "HTML", "JavaScript", "PHP", "JSON", "Docker", "PostCSS", "YAML", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\pagos.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 10, 76
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\perfil.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\reuniones.js", "JavaScript", 0, 0, 564, 0, 0, 0, 0, 0, 0, 57, 101, 722
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\reunionesAdmin.js", "JavaScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 14, 26, 194
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\socios.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 0, 0, 363, 54, 659
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\solicitudes.js", "JavaScript", 0, 0, 683, 0, 0, 0, 0, 0, 0, 37, 121, 841
"c:\xampp\htdocs\Proyecto\front\Javascript\BackOffice\unidades.js", "JavaScript", 0, 0, 312, 0, 0, 0, 0, 0, 0, 5, 8, 325
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\cooperativa.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 6, 12, 75
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\generalidades.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\horas.js", "JavaScript", 0, 0, 404, 0, 0, 0, 0, 0, 0, 38, 74, 516
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\modalReuniones.js", "JavaScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 16, 23, 195
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\pagos.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 0, 0, 5, 21, 194
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\reuniones.js", "JavaScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 15, 26, 195
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\unidad.js", "JavaScript", 0, 0, 381, 0, 0, 0, 0, 0, 0, 36, 80, 497
"c:\xampp\htdocs\Proyecto\front\Javascript\FrontUsuario\usuario.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 7, 16, 120
"c:\xampp\htdocs\Proyecto\front\Javascript\LandingPage.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 20, 30, 201
"c:\xampp\htdocs\Proyecto\front\Javascript\integrantesFamiliares.js", "JavaScript", 0, 0, 301, 0, 0, 0, 0, 0, 0, 9, 33, 343
"c:\xampp\htdocs\Proyecto\front\Javascript\interesado.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 6, 20, 131
"c:\xampp\htdocs\Proyecto\front\Javascript\login.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 5, 55
"c:\xampp\htdocs\Proyecto\front\Javascript\registro.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 11, 61
"c:\xampp\htdocs\Proyecto\front\Landing Page\index.html", "HTML", 0, 257, 0, 0, 0, 0, 0, 0, 0, 7, 28, 292
"c:\xampp\htdocs\Proyecto\front\Landing Page\login.html", "HTML", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 15, 93
"c:\xampp\htdocs\Proyecto\front\Landing Page\nueva-contrasena.html", "HTML", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 24, 155
"c:\xampp\htdocs\Proyecto\front\Landing Page\registro.html", "HTML", 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 18, 244
"c:\xampp\htdocs\Proyecto\front\Landing Page\solicitar-codigo.html", "HTML", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 21, 126
"c:\xampp\htdocs\Proyecto\front\Landing Page\verificar-codigo.html", "HTML", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 19, 124
"c:\xampp\htdocs\Proyecto\front\Usuario\configuracion.php", "PHP", 0, 0, 0, 239, 0, 0, 0, 0, 0, 7, 21, 267
"c:\xampp\htdocs\Proyecto\front\Usuario\horas.php", "PHP", 0, 0, 0, 315, 0, 0, 0, 0, 0, 7, 40, 362
"c:\xampp\htdocs\Proyecto\front\Usuario\index.php", "PHP", 0, 0, 0, 230, 0, 0, 0, 0, 0, 5, 26, 261
"c:\xampp\htdocs\Proyecto\front\Usuario\pagos.php", "PHP", 0, 0, 0, 247, 0, 0, 0, 0, 0, 6, 31, 284
"c:\xampp\htdocs\Proyecto\front\Usuario\unidades.php", "PHP", 0, 0, 0, 238, 0, 0, 0, 0, 0, 3, 28, 269
"c:\xampp\htdocs\Proyecto\front\cerrarSesion.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Proyecto\front\verificarSesion.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 1, 15
"c:\xampp\htdocs\Proyecto\my-apache.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 12
"c:\xampp\htdocs\Proyecto\testin\testin\testin.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\xampp\htdocs\Proyecto\testin\testin\testin.js", "JavaScript", 0, 0, 424, 0, 0, 0, 0, 0, 0, 31, 74, 529
"Total", "-", 308, 924, 5445, 8045, 23, 10, 14016, 30, 10, 1463, 4804, 35078
